distance	height	label	style
0	1900	昆明	{}
40	1800	富民	below
70	2200	{}	{}
119	1900	武定	below
189	2400	{}	{}
219	1200	元谋	below
261	1600	{}	{}
281	1500	永仁	below
311	2000	{}	{}
336	1400	大龙潭	{}
370	1200	攀枝花	below
420	2000	{}	{}
446	1200	渔门镇	below
495	2250	格萨拉乡	left
510	2800	{}	{}
540	2200	博大乡	{}
580	2000	{}	{}
630	2800	泸沽湖	{}
660	2700	永宁温泉	below
700	2800	屋脚乡	{}
745	3500	大坪子	{}
785	2500	依吉乡	right
820	1800	{}	{}
854	1900	俄亚大村	right
924	2300	各卡	right
964	2800	卡斯村	left
1004	4160	俄初山	{}
1044	3200	日瓦乡	below
1094	4530	波瓦山	{}
1120	3700	稻城	below
1154	4708	无名山	{}
1174	4300	马熊沟	right
1228	2800	乡城	below
1264	3145	然乌温泉	{}
1314	4300	大雪山	{}
1344	3200	翁水	below
1370	3900	小雪山	{}
1470	3200	中甸	{}
1620	2400	九河乡	{}
1740	2000	邓川	below
1780	2000	下关	{}
